produce,month,status,is_meat,is_fish,is_fruit,is_veg
Swede,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Sweet potato,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Tayberry,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
Tuna,Feb,Out of season,FALSE,TRUE,FALSE,FALSE
Turkey,Feb,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Feb,At its best,FALSE,FALSE,FALSE,TRUE
Venison,Feb,At its best,TRUE,FALSE,FALSE,FALSE
Watercress,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Watermelon,Feb,Out of season,FALSE,FALSE,TRUE,FALSE
White asparagus,Feb,Out of season,FALSE,FALSE,FALSE,TRUE
Whiting,Feb,At its best,FALSE,TRUE,FALSE,FALSE
Apple,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Apricot,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Asparagus,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Aubergine,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Banana,Mar,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Beef,Mar,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Blackberry,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Bramley apple,Mar,At its best,FALSE,FALSE,TRUE,FALSE
Broad bean,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Broccoli,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Cabbage,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Cauliflower,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Celeriac,Mar,At its best,FALSE,FALSE,FALSE,TRUE
Celery,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Cherry,Mar,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Chestnut,Mar,Out of season,FALSE,FALSE,FALSE,TRUE
Chicken,Mar,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Mar,At its best,FALSE,FALSE,FALSE,TRUE
