produce,month,status,is_meat,is_fish,is_fruit,is_veg
Nectarine,Aug,At its best,FALSE,FALSE,TRUE,FALSE
New potatoes,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Onion,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Orange,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Oyster,Aug,Coming in,FALSE,TRUE,FALSE,FALSE
Pak choi,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Peach,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Pear,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Peas,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Pepper,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Plum,Aug,Coming in,FALSE,FALSE,TRUE,FALSE
Pomegranate,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Aug,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Pumpkin,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Quince,Aug,Out of season,FALSE,FALSE,TRUE,FALSE
Radicchio,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Raspberry,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Redcurrant,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Rhubarb,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Runner bean,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Salmon,Aug,At its best,FALSE,TRUE,FALSE,FALSE
Salsify,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Samphire,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Sorrel,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Spinach,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Spring greens,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Spring lamb,Aug,Out of season,TRUE,FALSE,FALSE,FALSE
Spring onion,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Swede,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Sweet potato,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Aug,Coming in,FALSE,FALSE,FALSE,TRUE
Swiss chard,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Tayberry,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Tomato,Aug,At its best,FALSE,FALSE,TRUE,FALSE
Tuna,Aug,At its best,FALSE,TRUE,FALSE,FALSE
Turkey,Aug,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Venison,Aug,Out of season,TRUE,FALSE,FALSE,FALSE
Watercress,Aug,At its best,FALSE,FALSE,FALSE,TRUE
Watermelon,Aug,At its best,FALSE,FALSE,TRUE,FALSE
White asparagus,Aug,Out of season,FALSE,FALSE,FALSE,TRUE
Whiting,Aug,At its best,FALSE,TRUE,FALSE,FALSE
Apple,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Apricot,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Asparagus,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Aubergine,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Banana,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Beef,Sep,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Blackberry,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Bramley apple,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Broad bean,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Broccoli,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Cabbage,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Cauliflower,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Celeriac,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Celery,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Cherry,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Chestnut,Sep,Coming in,FALSE,FALSE,FALSE,TRUE
Chicken,Sep,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Clementine,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Cod,Sep,Out of season,FALSE,TRUE,FALSE,FALSE
Courgette,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Courgette flower,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Crab,Sep,At its best,FALSE,TRUE,FALSE,FALSE
Crab apple,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Damson,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Date,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Duck,Sep,Out of season,TRUE,FALSE,FALSE,FALSE
Elderberries,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Fig,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Garlic,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Goose,Sep,At its best,TRUE,FALSE,FALSE,FALSE
Gooseberry,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Grapefruit,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Grouse,Sep,At its best,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Sep,At its best,TRUE,FALSE,FALSE,FALSE
Halibut,Sep,At its best,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Kale,Sep,Coming in,FALSE,FALSE,FALSE,TRUE
Kipper,Sep,At its best,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Lamb,Sep,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Leek,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Lemon,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Lettuce,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Loganberry,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Mackerel,Sep,At its best,FALSE,TRUE,FALSE,FALSE
Mangetout,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Marrow,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Mint,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Mussels,Sep,Out of season,FALSE,TRUE,FALSE,FALSE
Nectarine,Sep,At its best,FALSE,FALSE,TRUE,FALSE
New potatoes,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Onion,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Orange,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Oyster,Sep,At its best,FALSE,TRUE,FALSE,FALSE
Pak choi,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Peach,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Pear,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Peas,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Pepper,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Plum,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Pomegranate,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Sep,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Pumpkin,Sep,Coming in,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Quince,Sep,Coming in,FALSE,FALSE,TRUE,FALSE
Radicchio,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Raspberry,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Redcurrant,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Rhubarb,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Runner bean,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Salmon,Sep,At its best,FALSE,TRUE,FALSE,FALSE
Salsify,Sep,Coming in,FALSE,FALSE,FALSE,TRUE
Samphire,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Spinach,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Spring greens,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Spring lamb,Sep,Out of season,TRUE,FALSE,FALSE,FALSE
Spring onion,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Swede,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Sweet potato,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Swiss chard,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Tayberry,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,Sep,At its best,FALSE,FALSE,TRUE,FALSE
Tuna,Sep,At its best,FALSE,TRUE,FALSE,FALSE
Turkey,Sep,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Venison,Sep,Out of season,TRUE,FALSE,FALSE,FALSE
Watercress,Sep,At its best,FALSE,FALSE,FALSE,TRUE
Watermelon,Sep,Out of season,FALSE,FALSE,TRUE,FALSE
White asparagus,Sep,Out of season,FALSE,FALSE,FALSE,TRUE
Whiting,Sep,At its best,FALSE,TRUE,FALSE,FALSE
Apple,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Apricot,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Asparagus,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Aubergine,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Banana,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Beef,Oct,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Blackberry,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Bramley apple,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Broad bean,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Broccoli,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Cabbage,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Cauliflower,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Celeriac,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Celery,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Cherry,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Chestnut,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Chicken,Oct,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Clementine,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Cod,Oct,Out of season,FALSE,TRUE,FALSE,FALSE
Courgette,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Courgette flower,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Crab,Oct,At its best,FALSE,TRUE,FALSE,FALSE
Crab apple,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Damson,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Date,Oct,Coming in,FALSE,FALSE,TRUE,FALSE
Duck,Oct,At its best,TRUE,FALSE,FALSE,FALSE
Elderberries,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Fig,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Garlic,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Goose,Oct,At its best,TRUE,FALSE,FALSE,FALSE
Gooseberry,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Grapefruit,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Grouse,Oct,At its best,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Oct,At its best,TRUE,FALSE,FALSE,FALSE
Halibut,Oct,Out of season,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Oct,Coming in,FALSE,FALSE,FALSE,TRUE
Kale,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Kipper,Oct,Out of season,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Lamb,Oct,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Leek,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Lemon,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Lettuce,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Loganberry,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Mackerel,Oct,At its best,FALSE,TRUE,FALSE,FALSE
Mangetout,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Marrow,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Mint,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Mussels,Oct,At its best,FALSE,TRUE,FALSE,FALSE
Nectarine,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
New potatoes,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Onion,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Orange,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Oyster,Oct,At its best,FALSE,TRUE,FALSE,FALSE
Pak choi,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Peach,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Pear,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Peas,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Pepper,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Plum,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Pomegranate,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Oct,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Pumpkin,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Quince,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Radicchio,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Raspberry,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Redcurrant,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Rhubarb,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Runner bean,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Salmon,Oct,Out of season,FALSE,TRUE,FALSE,FALSE
Salsify,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Samphire,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Spinach,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Spring greens,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Spring lamb,Oct,Out of season,TRUE,FALSE,FALSE,FALSE
Spring onion,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Swede,Oct,Coming in,FALSE,FALSE,FALSE,TRUE
Sweet potato,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Tayberry,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,Oct,At its best,FALSE,FALSE,TRUE,FALSE
Tuna,Oct,Out of season,FALSE,TRUE,FALSE,FALSE
Turkey,Oct,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Oct,At its best,FALSE,FALSE,FALSE,TRUE
Venison,Oct,Coming in,TRUE,FALSE,FALSE,FALSE
Watercress,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Watermelon,Oct,Out of season,FALSE,FALSE,TRUE,FALSE
White asparagus,Oct,Out of season,FALSE,FALSE,FALSE,TRUE
Whiting,Oct,At its best,FALSE,TRUE,FALSE,FALSE
Apple,Nov,At its best,FALSE,FALSE,TRUE,FALSE
Apricot,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Asparagus,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Aubergine,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Banana,Nov,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Beef,Nov,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Blackberry,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Bramley apple,Nov,Coming in,FALSE,FALSE,TRUE,FALSE
Broad bean,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Broccoli,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Cabbage,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Cauliflower,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Celeriac,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Celery,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Cherry,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Chestnut,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Chicken,Nov,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Clementine,Nov,At its best,FALSE,FALSE,TRUE,FALSE
Cod,Nov,Out of season,FALSE,TRUE,FALSE,FALSE
Courgette,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Courgette flower,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Crab,Nov,At its best,FALSE,TRUE,FALSE,FALSE
Crab apple,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Nov,At its best,FALSE,FALSE,TRUE,FALSE
Damson,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Date,Nov,At its best,FALSE,FALSE,TRUE,FALSE
Duck,Nov,At its best,TRUE,FALSE,FALSE,FALSE
Elderberries,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Fig,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Garlic,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Globe artichoke,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Goose,Nov,At its best,TRUE,FALSE,FALSE,FALSE
Gooseberry,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Grapefruit,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Grouse,Nov,At its best,TRUE,FALSE,FALSE,FALSE
Guinea fowl,Nov,At its best,TRUE,FALSE,FALSE,FALSE
Halibut,Nov,Out of season,FALSE,TRUE,FALSE,FALSE
Jerusalem artichoke,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Kale,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Kipper,Nov,Out of season,FALSE,TRUE,FALSE,FALSE
Kohlrabi,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Lamb,Nov,At its best,TRUE,FALSE,FALSE,FALSE
Lamb's lettuce,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Leek,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Lemon,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Lettuce,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Loganberry,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Mackerel,Nov,Out of season,FALSE,TRUE,FALSE,FALSE
Mangetout,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Marrow,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Mint,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Mussels,Nov,At its best,FALSE,TRUE,FALSE,FALSE
Nectarine,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
New potatoes,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Onion,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Orange,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Oyster,Nov,At its best,FALSE,TRUE,FALSE,FALSE
Pak choi,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Parsnip,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Peach,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Pear,Nov,At its best,FALSE,FALSE,TRUE,FALSE
Peas,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Pepper,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Plum,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Pomegranate,Nov,At its best,FALSE,FALSE,TRUE,FALSE
Pork,Nov,At its best,TRUE,FALSE,FALSE,FALSE
Potato,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Pumpkin,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Purple sprouting broccoli,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Quince,Nov,At its best,FALSE,FALSE,TRUE,FALSE
Radicchio,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Radish,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Raspberry,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Redcurrant,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Rhubarb,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Runner bean,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Salmon,Nov,Out of season,FALSE,TRUE,FALSE,FALSE
Salsify,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Samphire,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Sorrel,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Spinach,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Spring greens,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Spring lamb,Nov,Out of season,TRUE,FALSE,FALSE,FALSE
Spring onion,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Strawberry,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Swede,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Sweet potato,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Sweetcorn,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Swiss chard,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Tayberry,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Tomato,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
Tuna,Nov,Out of season,FALSE,TRUE,FALSE,FALSE
Turkey,Nov,Out of season,TRUE,FALSE,FALSE,FALSE
Turnip,Nov,At its best,FALSE,FALSE,FALSE,TRUE
Venison,Nov,At its best,TRUE,FALSE,FALSE,FALSE
Watercress,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Watermelon,Nov,Out of season,FALSE,FALSE,TRUE,FALSE
White asparagus,Nov,Out of season,FALSE,FALSE,FALSE,TRUE
Whiting,Nov,At its best,FALSE,TRUE,FALSE,FALSE
Apple,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Apricot,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Asparagus,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Aubergine,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Banana,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Beef,Dec,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Blackberry,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Bramley apple,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Broad bean,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Broccoli,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Cabbage,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Cauliflower,Dec,Coming in,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Celeriac,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Celery,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Cherry,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Chestnut,Dec,At its best,FALSE,FALSE,FALSE,TRUE
Chicken,Dec,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Clementine,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Cod,Dec,Out of season,FALSE,TRUE,FALSE,FALSE
Courgette,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Courgette flower,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Crab,Dec,Out of season,FALSE,TRUE,FALSE,FALSE
Crab apple,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Damson,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Date,Dec,At its best,FALSE,FALSE,TRUE,FALSE
Duck,Dec,At its best,TRUE,FALSE,FALSE,FALSE
Elderberries,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
Fennel bulb,Dec,Out of season,FALSE,FALSE,FALSE,TRUE
Fig,Dec,Out of season,FALSE,FALSE,TRUE,FALSE
